A1	ai-register	What AI are we actually running?
A2	ai-register	Add the new Contoso Assist rollout to the AI inventory - HR are using it to screen applicants.
A3	ai-register	Someone found a writing tool in the CASB egress logs that nobody approved. Log it.
A4	ai-register	What is our applicant screening model exposed to?
A5	ai-register	Which of our AI deployments are overdue for reassessment?
A6	ai-register	The provider changed the model underneath our assistant. What does that invalidate?
A7	ai-register	Record that we put an input filter in front of the screening deployment, with the config export as evidence.
A8	ai-register	Contoso sent us their model card. Does that cover our prompt injection question?
A9	ai-register	Which AI deployments act without a person in the loop?
A10	ai-register	Build the AI section for the board pack.
A11	ai-register	We want to accept the residual risk on prompt injection for the drafting tool.
A12	ai-register	Is our applicant screening model biased?
A13	ai-register	Score the risk from the unsanctioned writing tool.
A14	ai-register	Are we in scope for the EU AI Act as a deployer?
A15	ai-register	How mature is our AI security programme, out of ten?
