subcategory_id,function_id,category_id,current_tier,target_tier,priority,subcategory_text,note
GV.RM-01,GV,GV.RM,1,3,high,"Risk management objectives are established and agreed to by organizational stakeholders","No documented risk appetite statement approved by leadership"
GV.SC-07,GV,GV.SC,1,3,critical,"The risks posed by a supplier are identified, recorded, and prioritized","Third-party inventory incomplete; no tiering of critical vendors"
GV.PO-01,GV,GV.PO,2,3,medium,"Policy for managing cybersecurity risks is established based on organizational context","Security policy exists but not reviewed in over 24 months"
ID.AM-01,ID,ID.AM,2,4,high,"Inventories of hardware managed by the organization are maintained","Asset inventory in spreadsheets; ~20% coverage gap on endpoints"
ID.AM-08,ID,ID.AM,1,3,critical,"Systems, hardware, software, and services are managed throughout their life cycles","Cloud resources not centrally tracked; misconfig drift undetected"
ID.RA-01,ID,ID.RA,1,3,high,"Vulnerabilities in assets are identified, validated, and recorded","Ad-hoc scanning only; no continuous vulnerability management"
ID.RA-05,ID,ID.RA,2,3,medium,"Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk","Risk scoring inconsistent across teams"
PR.AA-03,PR,PR.AA,1,4,critical,"Users, services, and hardware are authenticated","MFA missing on several remote access paths"
PR.AA-05,PR,PR.AA,2,4,high,"Access permissions and authorizations are managed, incorporating least privilege","No privileged access management; standing admin rights common"
PR.AT-01,PR,PR.AT,2,3,high,"Personnel are provided cybersecurity awareness and training","Annual training only; no phishing simulation program"
PR.DS-01,PR,PR.DS,2,3,medium,"The confidentiality, integrity, and availability of data-at-rest are protected","Full-disk encryption not enforced on all mobile devices"
PR.PS-02,PR,PR.PS,1,3,critical,"Software is maintained, replaced, and removed commensurate with risk","Patch SLAs not defined; internet-facing appliances lag on updates"
PR.IR-01,PR,PR.IR,2,3,medium,"Networks and environments are protected from unauthorized logical access","Flat network; limited segmentation of crown-jewel systems"
DE.CM-01,DE,DE.CM,1,4,high,"Networks and network services are monitored to find potentially adverse events","No 24x7 monitoring; alerts triaged next business day"
DE.CM-03,DE,DE.CM,1,3,high,"Personnel activity and technology usage are monitored to find adverse events","No DLP or user-behavior analytics in enforcement mode"
DE.AE-02,DE,DE.AE,2,3,medium,"Potentially adverse events are analyzed to better understand associated activities","Limited correlation across log sources"
RS.MA-01,RS,RS.MA,1,3,high,"The incident response plan is executed in coordination with relevant third parties","IR plan exists but has never been tested via tabletop"
RS.CO-02,RS,RS.CO,2,3,medium,"Internal and external stakeholders are notified of incidents","No defined breach-notification workflow or timelines"
RC.RP-01,RC,RC.RP,1,3,critical,"The recovery portion of the incident response plan is executed","Backups not immutable; restore procedures untested"
RC.CO-03,RC,RC.CO,2,3,low,"Recovery activities and progress are communicated to stakeholders","Recovery comms ad-hoc; no template or cadence"
