subcategory_id,function_id,category_id,current_tier,target_tier,priority,subcategory_text,note
GV.OV-02,GV,GV.OV,1,4,critical,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,
GV.OV-03,GV,GV.OV,1,4,critical,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,"Risk-management performance is never measured, so leadership cannot tell whether the post-incident program is working."
GV.RM-06,GV,GV.RM,1,4,critical,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated","No standardized scoring method — each business unit rates risk on its own ad-hoc scale, so the ERM rollup is not comparable across sites."
GV.RM-07,GV,GV.RM,1,4,critical,"Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions",
GV.SC-08,GV,GV.SC,1,4,critical,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities","Suppliers are absent from IR planning entirely. The 2025 incident was detected by the supplier, not Acme, and there was no agreed contact path or escalation SLA."
GV.SC-10,GV,GV.SC,1,4,critical,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Contracts have no offboarding or end-of-life provisions: terminated suppliers retain VPN accounts and data until someone notices.
PR.DS-10,PR,PR.DS,1,4,critical,"The confidentiality, integrity, and availability of data-in-use are protected",Data-in-use protections are not addressed at all — engineering workstations render full CAD assemblies in the clear with no memory or session protections.
GV.OC-04,GV,GV.OC,2,4,high,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",
GV.OC-05,GV,GV.OC,2,4,high,"Outcomes, capabilities, and services that the organization depends on are understood and communicated",
GV.OV-01,GV,GV.OV,2,4,high,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,
GV.PO-02,GV,GV.PO,2,4,high,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",
GV.RM-02,GV,GV.RM,2,4,high,"Risk appetite and risk tolerance statements are established, communicated, and maintained",
GV.RM-03,GV,GV.RM,2,4,high,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,
GV.RM-04,GV,GV.RM,2,4,high,Strategic direction that describes appropriate risk response options is established and communicated,
GV.RM-05,GV,GV.RM,2,4,high,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties",
GV.RR-03,GV,GV.RR,2,4,high,"Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies",
GV.RR-04,GV,GV.RR,2,4,high,Cybersecurity is included in human resources practices,
GV.SC-01,GV,GV.SC,2,4,high,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",
GV.SC-02,GV,GV.SC,2,4,high,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",
GV.SC-03,GV,GV.SC,2,4,high,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",
GV.SC-05,GV,GV.SC,2,4,high,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",
GV.SC-06,GV,GV.SC,2,4,high,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,
GV.SC-07,GV,GV.SC,2,4,high,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",
GV.SC-09,GV,GV.SC,2,4,high,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",
ID.AM-07,ID,ID.AM,1,3,high,Inventories of data and corresponding metadata for designated data types are maintained,"No data inventory. Sensitive design files (CAD, tooling specs) live on unclassified shares alongside general business data."
ID.IM-02,ID,ID.IM,1,3,high,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",
ID.RA-08,ID,ID.RA,1,3,high,"Processes for receiving, analyzing, and responding to vulnerability disclosures are established",
ID.RA-09,ID,ID.RA,1,3,high,The authenticity and integrity of hardware and software are assessed prior to acquisition and use,Hardware and software authenticity is not checked prior to acquisition — the 2025 compromise entered through a supplier-provided integration package.
PR.AA-02,PR,PR.AA,2,4,high,Identities are proofed and bound to credentials based on the context of interactions,
PR.AA-04,PR,PR.AA,2,4,high,"Identity assertions are protected, conveyed, and verified",
PR.AA-05,PR,PR.AA,2,4,high,"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties",
PR.AT-02,PR,PR.AT,2,4,high,Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind,
PR.IR-03,PR,PR.IR,2,4,high,Mechanisms are implemented to achieve resilience requirements in normal and adverse situations,
PR.IR-04,PR,PR.IR,2,4,high,Adequate resource capacity to ensure availability is maintained,
PR.PS-01,PR,PR.PS,2,4,high,Configuration management practices are established and applied,
PR.PS-02,PR,PR.PS,2,4,high,"Software is maintained, replaced, and removed commensurate with risk",
PR.PS-03,PR,PR.PS,2,4,high,"Hardware is maintained, replaced, and removed commensurate with risk",
PR.PS-04,PR,PR.PS,2,4,high,Log records are generated and made available for continuous monitoring,
PR.PS-05,PR,PR.PS,2,4,high,Installation and execution of unauthorized software are prevented,
DE.AE-03,DE,DE.AE,1,3,high,Information is correlated from multiple sources,"No SIEM. Firewall, endpoint, and OT historian logs live in three separate consoles; correlation is a human reading them side by side."
DE.AE-07,DE,DE.AE,1,3,high,Cyber threat intelligence and other contextual information are integrated into the analysis,
DE.CM-03,DE,DE.CM,1,3,high,Personnel activity and technology usage are monitored to find potentially adverse events,
DE.CM-06,DE,DE.CM,1,3,high,External service provider activities and services are monitored to find potentially adverse events,External service provider activity is not monitored — managed-service vendors have standing remote access with no session logging.
RS.AN-06,RS,RS.AN,1,3,high,"Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved",
RS.AN-07,RS,RS.AN,1,3,high,"Incident data and metadata are collected, and their integrity and provenance are preserved",
RS.MA-05,RS,RS.MA,1,3,high,The criteria for initiating incident recovery are applied,No documented criteria for initiating recovery; the call was made informally by the plant manager during the last event.
RC.RP-06,RC,RC.RP,1,3,high,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed","No ""end of incident"" declaration criteria, so the 2025 event has never been formally closed and lessons-learned remain open."
GV.OC-01,GV,GV.OC,3,4,medium,The organizational mission is understood and informs cybersecurity risk management,
GV.OC-02,GV,GV.OC,3,4,medium,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",
GV.OC-03,GV,GV.OC,3,4,medium,"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed",
GV.PO-01,GV,GV.PO,3,4,medium,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",
GV.RM-01,GV,GV.RM,3,4,medium,Risk management objectives are established and agreed to by organizational stakeholders,
GV.RR-01,GV,GV.RR,3,4,medium,"Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving",
GV.RR-02,GV,GV.RR,3,4,medium,"Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced",
GV.SC-04,GV,GV.SC,3,4,medium,Suppliers are known and prioritized by criticality,
PR.AA-01,PR,PR.AA,3,4,medium,"Identities and credentials for authorized users, services, and hardware are managed by the organization",
PR.AA-03,PR,PR.AA,3,4,medium,"Users, services, and hardware are authenticated",
PR.AT-01,PR,PR.AT,3,4,medium,Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,
PR.DS-01,PR,PR.DS,3,4,medium,"The confidentiality, integrity, and availability of data-at-rest are protected",
PR.DS-02,PR,PR.DS,3,4,medium,"The confidentiality, integrity, and availability of data-in-transit are protected",
PR.DS-11,PR,PR.DS,3,4,medium,"Backups of data are created, protected, maintained, and tested",
PR.IR-01,PR,PR.IR,3,4,medium,Networks and environments are protected from unauthorized logical access and usage,
ID.AM-02,ID,ID.AM,2,3,low,"Inventories of software, services, and systems managed by the organization are maintained",
ID.AM-03,ID,ID.AM,2,3,low,Representations of the organization's authorized network communication and internal and external network data flows are maintained,
ID.AM-04,ID,ID.AM,2,3,low,Inventories of services provided by suppliers are maintained,
ID.AM-05,ID,ID.AM,2,3,low,"Assets are prioritized based on classification, criticality, resources, and impact on the mission",
ID.AM-08,ID,ID.AM,2,3,low,"Systems, hardware, software, services, and data are managed throughout their life cycles",
ID.IM-01,ID,ID.IM,2,3,low,Improvements are identified from evaluations,
ID.IM-03,ID,ID.IM,2,3,low,"Improvements are identified from execution of operational processes, procedures, and activities",
ID.RA-02,ID,ID.RA,2,3,low,Cyber threat intelligence is received from information sharing forums and sources,
ID.RA-03,ID,ID.RA,2,3,low,Internal and external threats to the organization are identified and recorded,
ID.RA-04,ID,ID.RA,2,3,low,Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,
ID.RA-05,ID,ID.RA,2,3,low,"Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",
ID.RA-06,ID,ID.RA,2,3,low,"Risk responses are chosen, prioritized, planned, tracked, and communicated",
ID.RA-10,ID,ID.RA,2,3,low,Critical suppliers are assessed prior to acquisition,
DE.AE-02,DE,DE.AE,2,3,low,Potentially adverse events are analyzed to better understand associated activities,
DE.AE-04,DE,DE.AE,2,3,low,The estimated impact and scope of adverse events are understood,
DE.AE-06,DE,DE.AE,2,3,low,Information on adverse events is provided to authorized staff and tools,
DE.AE-08,DE,DE.AE,2,3,low,Incidents are declared when adverse events meet the defined incident criteria,
DE.CM-01,DE,DE.CM,2,3,low,Networks and network services are monitored to find potentially adverse events,
DE.CM-09,DE,DE.CM,2,3,low,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",
RS.AN-03,RS,RS.AN,2,3,low,Analysis is performed to establish what has taken place during an incident and the root cause of the incident,
RS.AN-08,RS,RS.AN,2,3,low,An incident's magnitude is estimated and validated,
RS.CO-03,RS,RS.CO,2,3,low,Information is shared with designated internal and external stakeholders,
RS.MA-01,RS,RS.MA,2,3,low,The incident response plan is executed in coordination with relevant third parties once an incident is declared,
RS.MA-02,RS,RS.MA,2,3,low,Incident reports are triaged and validated,
RS.MA-03,RS,RS.MA,2,3,low,Incidents are categorized and prioritized,
RS.MA-04,RS,RS.MA,2,3,low,Incidents are escalated or elevated as needed,
RS.MI-02,RS,RS.MI,2,3,low,Incidents are eradicated,
RC.CO-03,RC,RC.CO,2,3,low,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,
RC.RP-01,RC,RC.RP,2,3,low,The recovery portion of the incident response plan is executed once initiated from the incident response process,
RC.RP-02,RC,RC.RP,2,3,low,"Recovery actions are selected, scoped, prioritized, and performed",
RC.RP-04,RC,RC.RP,2,3,low,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,
RC.RP-05,RC,RC.RP,2,3,low,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed",
