T1	attention-surface	What needs my attention this week?
T2	attention-surface	What is on fire right now?
T3	attention-surface	What changed since our last security review?
T4	attention-surface	Show me everything that is overdue across the whole programme.
T5	attention-surface	Run the Monday security review.
T6	attention-surface	Give me a digest I can paste into the team channel.
T7	attention-surface	What is escalating that nobody owns?
T8	attention-surface	Which of our registers have not been read this week?
T9	board-pack	Build the quarterly board pack.
T10	risk-register	Add a new risk about the CRM vendor.
T11	attention-surface	Mute the untraced vendor escalations, they are noise.
T12	attention-surface	Rank these escalations by priority so I know what to do first.
